yearID,franchid_1,franchid_2,abs_difference,W1,W2,L1,L2
1871,BNA,BNA,0,20,20,10,10
1871,BNA,CNA,1,20,19,10,9
1871,BNA,CFC,10,20,10,10,19
1871,BNA,KEK,13,20,7,10,12
1871,BNA,NNA,4,20,16,10,17
1871,BNA,PNA,1,20,21,10,7
1871,BNA,ROK,16,20,4,10,21
1871,BNA,TRO,7,20,13,10,15
1871,BNA,OLY,5,20,15,10,15
1871,CNA,BNA,1,19,20,9,10
1871,CNA,CNA,0,19,19,9,9
1871,CNA,CFC,9,19,10,9,19
1871,CNA,KEK,12,19,7,9,12
1871,CNA,NNA,3,19,16,9,17
1871,CNA,PNA,2,19,21,9,7
1871,CNA,ROK,15,19,4,9,21
1871,CNA,TRO,6,19,13,9,15
1871,CNA,OLY,4,19,15,9,15
1871,CFC,BNA,10,10,20,19,10
1871,CFC,CNA,9,10,19,19,9
1871,CFC,CFC,0,10,10,19,19
1871,CFC,KEK,3,10,7,19,12
1871,CFC,NNA,6,10,16,19,17
1871,CFC,PNA,11,10,21,19,7
1871,CFC,ROK,6,10,4,19,21
1871,CFC,TRO,3,10,13,19,15
1871,CFC,OLY,5,10,15,19,15
1871,KEK,BNA,13,7,20,12,10
1871,KEK,CNA,12,7,19,12,9
1871,KEK,CFC,3,7,10,12,19
1871,KEK,KEK,0,7,7,12,12
1871,KEK,NNA,9,7,16,12,17
1871,KEK,PNA,14,7,21,12,7
1871,KEK,ROK,3,7,4,12,21
1871,KEK,TRO,6,7,13,12,15
1871,KEK,OLY,8,7,15,12,15
1871,NNA,BNA,4,16,20,17,10
1871,NNA,CNA,3,16,19,17,9
1871,NNA,CFC,6,16,10,17,19
1871,NNA,KEK,9,16,7,17,12
1871,NNA,NNA,0,16,16,17,17
1871,NNA,PNA,5,16,21,17,7
1871,NNA,ROK,12,16,4,17,21
1871,NNA,TRO,3,16,13,17,15
1871,NNA,OLY,1,16,15,17,15
1871,PNA,BNA,1,21,20,7,10
